state,linecode,Description,income
Alabama,1,Personal income (thousands of dollars),194871226
Alabama,2,Population (persons) 1/,4874747
Alabama,3,Per capita personal income (dollars) 2/,39976
Alaska,1,Personal income (thousands of dollars),41459811
Alaska,2,Population (persons) 1/,739795
Alaska,3,Per capita personal income (dollars) 2/,56042
Arizona,1,Personal income (thousands of dollars),292108028
Arizona,2,Population (persons) 1/,7016270
Arizona,3,Per capita personal income (dollars) 2/,41633
Arkansas,1,Personal income (thousands of dollars),122546185
Arkansas,2,Population (persons) 1/,3004279
Arkansas,3,Per capita personal income (dollars) 2/,40791
California,1,Personal income (thousands of dollars),2303870496
California,2,Population (persons) 1/,39536653
California,3,Per capita personal income (dollars) 2/,58272
Colorado,1,Personal income (thousands of dollars),300006049
Colorado,2,Population (persons) 1/,5607154
Colorado,3,Per capita personal income (dollars) 2/,53504
Connecticut,1,Personal income (thousands of dollars),251607948
Connecticut,2,Population (persons) 1/,3588184
Connecticut,3,Per capita personal income (dollars) 2/,70121
Delaware,1,Personal income (thousands of dollars),47255723
Delaware,2,Population (persons) 1/,961939
Delaware,3,Per capita personal income (dollars) 2/,49125
District of Columbia,1,Personal income (thousands of dollars),53426123
District of Columbia,2,Population (persons) 1/,693972
District of Columbia,3,Per capita personal income (dollars) 2/,76986
Florida,1,Personal income (thousands of dollars),983294332
Florida,2,Population (persons) 1/,20984400
Florida,3,Per capita personal income (dollars) 2/,46858
Georgia,1,Personal income (thousands of dollars),451280709
Georgia,2,Population (persons) 1/,10429379
Georgia,3,Per capita personal income (dollars) 2/,43270
Hawaii,1,Personal income (thousands of dollars),74144368
Hawaii,2,Population (persons) 1/,1427538
Hawaii,3,Per capita personal income (dollars) 2/,51939
Idaho,1,Personal income (thousands of dollars),69548456
Idaho,2,Population (persons) 1/,1716943
Idaho,3,Per capita personal income (dollars) 2/,40507
Illinois,1,Personal income (thousands of dollars),676053010
Illinois,2,Population (persons) 1/,12802023
Illinois,3,Per capita personal income (dollars) 2/,52808
Indiana,1,Personal income (thousands of dollars),294440455
Indiana,2,Population (persons) 1/,6666818
Indiana,3,Per capita personal income (dollars) 2/,44165
Iowa,1,Personal income (thousands of dollars),144691308
Iowa,2,Population (persons) 1/,3145711
Iowa,3,Per capita personal income (dollars) 2/,45996
Kansas,1,Personal income (thousands of dollars),138672947
Kansas,2,Population (persons) 1/,2913123
